transaction_id,customer_id,product_name,quantity,unit_price,total_amount,date
1,101,Samsung Mobile,2,550,,1/5/2023
2,102,Asus Laptop,1,1200,1/8/2023,
3,103,Nikon Camera,3,450,1350,
4,104,Bluetooth Headphones,2,80,1/15/2023,
5,105,LG TV,1,1800,1800,1/20/2023
6,106,Beats Speaker,4,120,,1/25/2023
7,107,Gaming Keyboard,1,60,1/28/2023,
8,108,Gaming Mouse,2,40,80,
9,109,Anker Power Bank,1,30,2/6/2023,
10,110,External Hard Drive,1,,90,2/10/2023
11,111,HP Printer,3,150,450,2/15/2023
12,112,Razer Headset,2,70,2/18/2023,
13,113,Dell Monitor,1,350,350,2/22/2023
14,114,Laptop Bag,2,25,2/27/2023,
15,115,Gaming Mouse Pad,1,,15,3/3/2023
16,116,Security Camera,4,100,400,
17,117,Apple iPhone,1,1400,,3/12/2023
18,118,Sony Headphones,2,60,120,3/17/2023
19,119,Dell Laptop,1,1100,1100,
20,120,PlayStation 5,1,900,,3/26/2023
21,121,TP-Link Modem,3,50,150,
22,122,Bluetooth Keyboard,1,35,4/4/2023,
23,123,Gillette Shaver,2,40,80,4/9/2023
24,124,Xbox Gaming Console,1,800,800,
25,125,Internal Hard Disk,1,120,4/18/2023,
26,126,Bluetooth Headset,2,25,50,
27,127,Sony TV,1,1600,4/27/2023,
28,128,Xiaomi Phone,3,300,,5/2/2023
29,129,Smart Speaker,1,75,5/6/2023,
30,130,Wireless Mouse,2,20,40,5/11/2023
31,131,Nintendo Gaming Console,1,350,5/15/2023,
32,132,Gaming Headphones,1,90,90,
33,133,Acer Laptop,2,1000,,5/24/2023
34,134,Western Digital External Hard Drive,1,80,80,
35,135,Samsung Camera,1,400,6/2/2023,
36,136,Huawei Phone,4,250,1000,
37,137,PlayStation Games,1,60,,6/11/2023
38,138,Sony Soundbar,2,200,,6/16/2023
39,139,Smart Watch,1,120,120,6/20/2023
40,140,Microsoft Surface,1,1500,,6/25/2023
41,141,Logitech Webcam,3,80,240,6/29/2023
42,142,External SSD,1,,70,7/4/2023
43,143,Google Pixel,2,500,7/8/2023,
44,144,Wireless Earbuds,1,50,,7/13/2023
45,145,Canon DSLR Camera,1,600,7/17/2023,
46,146,Amazon Echo,3,120,360,
47,147,Lenovo Tablet,1,300,7/26/2023,
48,148,Samsung Smartwatch,2,180,360,
49,149,Asus Gaming Laptop,1,1400,,8/4/2023
50,150,JBL Portable Speaker,2,90,180,8/9/2023
51,151,Samsung Tablet,1,500,,8/13/2023
52,152,Corsair Gaming Mouse,2,40,80,8/18/2023
53,153,LG Sound System,1,350,350,
54,154,Anker Wireless Charger,2,25,8/27/2023,
55,155,PlayStation VR,1,700,,8/31/2023
56,156,Sennheiser Headphones,1,120,120,
57,157,Fitbit Fitness Tracker,3,60,180,9/9/2023
